hotel,price,score,avg review,reviews count,image_links,hotel_url,popular_facilities,city,country,description
San Remo Terrazas Hotel,US$62,"7,0",Bien,3.190,https://cf.bstatic.com/xdata/images/hotel/max1024x768/282869489.webp?k=aecaa99ee843d8755a749edf1a0876c8d0d1f4daaeb2a99daaa9de414f2b93a7&o=,https://www.booking.com/hotel/uy/san-remo-terrazas.es.html?aid=2410095,"Desayuno, Alquiler de bicicletas, Prohibido fumar en todo el alojamiento, Aire acondicionado, Ascensor, Español, Juegos de mesa / puzles, Seguridad 24 horas, TV, Papel higiénico, Armario, Perchero, Zona de fumadores, Suelo de baldosa / mármol, Entrada privada, Bidet, Bar, Cámaras de seguridad en las zonas comunitarias, Horario de apertura, Para todas las edades, Portugués, Mobiliario exterior, WiFi gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Tarjeta de acceso, Enchufe cerca de la cama, Parking gratis, Protector de enchufes para niños, Restaurante, WC, Canales por cable, Guardaequipaje, Habitaciones familiares, Artículos de aseo gratis, Sombrillas, Tumbonas/sillas de playa, Ropa de cama, Inglés, Piscina con vistas, Ducha, Ventilador, Toallas, TV de pantalla plana, Calefacción, Abierta todo el año, Extintores, Piscina al aire libre, Acceso a pisos superiores en ascensor",Piriápolis,Uruguay,"El San Remo se encuentra en Piriápolis y ofrece habitaciones con TV por cable y un restaurante con vistas panorámicas al Río de la Plata. Hay conexión Wi-Fi y aparcamiento gratuitos.

Los alojamientos del San Remo Terrazas Hotel disponen de aire acondicionado y baño privado. También incluye calefacción.

La recepción está abierta las 24 horas.

El San Remo Terrazas se encuentra a los pies del cerro San Antonio, justo enfrente del puerto de Yates. Está a solo 7 calles de las playas y del centro de Piriápolis."
Hostel de los Colores,US$26,"8,6",Fabuloso,204,https://cf.bstatic.com/xdata/images/hotel/max1024x768/105234816.webp?k=cb108de58862f376d6892ead607dd6c5be5941dce7038dc4b18fa6770a27e60a&o=,https://www.booking.com/hotel/uy/hostel-de-los-colores.es.html?aid=2410095,"Español, Juegos de mesa / puzles, Papel higiénico, Suelo de baldosa / mármol, Ping pong, Zona TV / salón de uso compartido, Sala de juegos, Toallas / sábanas (por un suplemento), WiFi gratis, Enchufe cerca de la cama, WC, Guardaequipaje, Información turística, Ropa de cama, Inglés, Ducha, Toallas, Cocina compartida, Extintores",Piriápolis,Uruguay,"El Hostel de los Colores ofrece alojamiento económico en Piriápolis con conexión WiFi gratuita. El alojamiento está a 100 metros del casino, mientras que la playa y la estación de autobuses están a 200 metros de distancia.

El albergue dispone de habitaciones con aire acondicionado, calefacción y caja fuerte. Todas tienen una decoración colorida. Se ofrecen baños privados o compartidos. Algunos alojamientos cuentan con TV por cable. Se incluye ropa de cama y toallas.

El Hostel de los Colores dispone de recepción abierta las 24 horas y proporciona información sobre la zona. Además, el establecimiento cuenta con cocina compartida, sala de juegos, mesa de ping pong y zona de salón con ordenadores.

El albergue ofrece servicio de alquiler de bicicletas y kayak. También hay consigna de equipaje.

El establecimiento está a 50 metros de la comisaría de policía. El aeropuerto internacional de Carrasco está a 100 km."
Argentino Hotel Casino & Resort,US$124,"7,5",Bien,1.611,https://cf.bstatic.com/xdata/images/hotel/max1024x768/87373780.webp?k=4c818c016e4f6711f60f175472960fff18fa38d4cfea6647d9c5f9126c3395a3&o=,https://www.booking.com/hotel/uy/argentino-casino.es.html?aid=2410095,"Snack-bar, Llave de acceso, Tinte, Servicios de depilación, Tratamientos corporales, Servicio de lavandería, Bar, Plancha para pantalones, Taquillas en el gimnasio / spa, Tours a pie, Baño privado, Servicio de limpieza diario, Música / espectáculos en directo, Traslado aeropuerto, Guardaequipaje, Situado frente a la playa, Canguro / servicios para niños, Buen desayuno, Centro de negocios, Abierta todo el año, Tour o clase sobre cultura local, Adaptado personas de movilidad reducida, Máquina expendedora (aperitivos), Alquiler de coches, Registro de entrada / salida privado, Fax / fotocopiadora, Español, Ascensor, Juegos de mesa / puzles, Seguridad 24 horas, Perchero, Registro de entrada y salida exprés, Paquetes de spa / bienestar, Supermercado pequeño en el alojamiento, Menú para niños, Peinado, Detectores de humo, Ping pong, Masajes, Zona TV / salón de uso compartido, WiFi gratis, Spa y centro de bienestar, Entretenimiento nocturno, Desayuno en la habitación, Parking gratis, Tratamientos faciales, Instalaciones de spa, Piscina climatizada, Piscina interior, Vistas, Barandillas protectoras para bebés, Pedicura, Club infantil, Piscina infantil, Zona de fumadores, Tobogán de agua, Gimnasio, Baños termales, Cámaras de seguridad fuera del alojamiento, Cámaras de seguridad en las zonas comunitarias, Para todas las edades, Zona de juegos para niños, Sala de juegos, Cambio de moneda, Pista de tenis, Caja fuerte, Hammam, Manicura, Restaurante, Servicio de planchado, Playa, Zona de spa / relajación, Habitaciones familiares, Información turística, Inglés, Equipamiento de juegos para exterior, Jardín, Menús para dietas especiales (bajo petición), Calefacción, Extintores, Proporciona factura, Fruta, Terraza / solárium, Prohibido fumar en todo el alojamiento, Servicios de belleza, Peluquería / salón de belleza, Servicio de traslado, Corte de pelo, Servicio de conserjería, Piscina de agua salada, Salas de reuniones / banquetes, Parking adaptado para personas de movilidad reducida, Sauna, Aeróbic, Recepción 24 horas, Zona de pícnic, Clases de fitness, Zona de juegos interior, Personal de animación, Casino, Habitaciones insonorizadas, Solárium, Habitaciones sin humo, Tratamientos capilares, Servicio de habitaciones, Buffet para niños, Instalaciones para deportes acuáticos en el alojamiento",Piriápolis,Uruguay,"El Argentino Hotel Casino & Resort está ubicado en un edificio señorial frente a la playa de Piriápolis y cuenta con 2 piscinas, un spa y un complejo deportivo. El establecimiento ofrece WiFi y desayuno gratuitos. Punta del Este está a 30 minutos en coche.

Las habitaciones del Argentino Hotel Casino & Resort son amplias y luminosas y disponen de moqueta, zona de estar con una decoración elegante y TV por cable.

El establecimiento sirve un desayuno buffet todos los días. Los huéspedes podrán degustar platos internacionales en el restaurante Magdalena o tomar algo en el jardín del Dianomarino Bar & Grill. El hotel también alberga un salón de té y un restaurante asador.

Las instalaciones de spa incluyen 2 piscinas, sauna y sala de masajes. También hay pistas de tenis, campo de fútbol y una sala de juegos con mesas de ping pong y billar.

El Argentino Hotel Casino & Resort está a 40 minutos en coche del aeropuerto de Carrasco y a 1 hora en coche de Montevideo. Se organizan servicios de enlace con el aeropuerto."
Unica,US$112,"9,7",Excepcional,38,https://cf.bstatic.com/xdata/images/hotel/max1024x768/373520832.webp?k=8cfa157985808cbc0846c83e7f809f775a4f8a075a882b4f600cd75f24c1c885&o=,https://www.booking.com/hotel/uy/unica.es.html?aid=2410095,"Apartamento privado en edificio, Microondas, Cafetera, Prohibido fumar en todo el alojamiento, Español, Aire acondicionado, Sofá, Ascensor, Nevera, Servicio de streaming (como Netflix), TV, Papel higiénico, Tetera / cafetera, Suelo de baldosa / mármol, Canales vía satélite, Cocina, Bidet, Secador de pelo, Balcón, Fogones, Productos de limpieza, Zona de comedor, Terraza, WiFi gratis, Baño privado, Italiano, Utensilios de cocina, Zona de estar, Enchufe cerca de la cama, Parking gratis, WC, Playa, Habitaciones familiares, Zona de cocina, Bañera o ducha, Situado frente a la playa, Artículos de aseo gratis, Ropa de cama, Inglés, Ducha, Toallas, Vistas a la ciudad, TV de pantalla plana, Vistas, Calefacción, Vistas al mar, Tostadora, Mesa de comedor, Hervidor eléctrico, Habitaciones sin humo, Acceso a pisos superiores en ascensor",Piriápolis,Uruguay,"Unica, que tiene vistas a la ciudad, dispone de alojamiento con balcón y hervidor a unos pocos pasos de Playa de Piriápolis. Este alojamiento frente a la playa ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en el apartamento.

Playa Grande está a 2,2 km del alojamiento, y Estación de autobús de Punta del Este está a 41 km. El aeropuerto (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 22 km."
Mar y Arte,US$108,"8,9",Fabuloso,639,https://cf.bstatic.com/xdata/images/hotel/max1024x768/382228203.webp?k=73c87a61b61cef95fd21bff52b5decdb418be2a6cf814eb7588eda75a6d8d7dd&o=,https://www.booking.com/hotel/uy/mar-y-arte-piriapolis.es.html?aid=2410095,"Alquiler de bicicletas, Prohibido fumar en todo el alojamiento, Aire acondicionado, Español, Galerías de arte temporales, TV, Papel higiénico, Perchero, Secador de pelo, Cámaras de seguridad fuera del alojamiento, Cámaras de seguridad en las zonas comunitarias, Detectores de humo, Horario de apertura, Zona TV / salón de uso compartido, WiFi gratis, Baño privado, De temporada, Caja fuerte, Tarjeta de acceso, Enchufe cerca de la cama, Parking gratis, WC, Canales por cable, Habitaciones familiares, Artículos de aseo gratis, Inglés, Buen desayuno, Ducha, Solo para adultos, Jardín, Toallas, TV de pantalla plana, Habitaciones sin humo, Extintores, Piscina al aire libre, Proporciona factura",Piriápolis,Uruguay,"Mar y Arte está en Piriápolis, a 5 min a pie de Playa de Piriápolis, y dispone de alojamiento con bicicletas gratis, parking privado gratis, piscina de temporada al aire libre y jardín. Este hotel de 2 estrellas ofrece salón de uso común y habitaciones con aire acondicionado, wifi gratis y baño privado. Algunas habitaciones del alojamiento disponen de un patio con vistas a la ciudad.

Algunas de las habitaciones incluyen cocina con nevera, horno y microondas. Todas las habitaciones tienen TV de pantalla plana con canales por cable y caja fuerte.

Playa Grande está a 3 km del alojamiento, y Estación de autobús de Punta del Este está a 40 km. El aeropuerto (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 21 km."
Hotel Escorial,US$115,"8,8",Fabuloso,640,https://cf.bstatic.com/xdata/images/hotel/max1024x768/37948903.webp?k=0a9bf948a6c6b2d9e20a5ebad2755ab35ca3a048c4ad533a8c17d4d186b97f75&o=,https://www.booking.com/hotel/uy/escorial.es.html?aid=2410095,"Registro de entrada / salida privado, Terraza / solárium, Fax / fotocopiadora, Prohibido fumar en todo el alojamiento, Aire acondicionado, Ascensor, Español, TV, Armario, Servicio de lavandería, Secador de pelo, Zona TV / salón de uso compartido, Portugués, Muy buen desayuno, WiFi gratis, Baño privado, Servicio de limpieza diario, Recepción 24 horas, Servicio de despertador, Caja fuerte, Minibar, Parking gratis, Servicio de planchado, Canales por cable, Playa, Habitaciones familiares, Artículos de aseo gratis, Información turística, Situado frente a la playa, Ropa de cama, Teléfono, Inglés, Ducha, Jardín, Toallas, Suelo de moqueta, Vistas, Solárium, Piscina al aire libre",Piriápolis,Uruguay,"El Hotel Escorial, situado en Piriápolis, enfrente de la playa y a 300 metros de la estación de autobuses, ofrece piscina al aire libre, vistas al mar y conexión WiFi gratuita.

Las habitaciones del Hotel Escorial son cómodas y disponen de aire acondicionado, TV por cable, minibar, balcón con vistas al mar o a la piscina y baño con bañera y secador de pelo.

El establecimiento incluye recepción las 24 horas, zona de salón compartida, mostrador de información turística, aparcamiento gratuito y servicio de alquiler de coches y bicicletas bajo petición.

El Hotel Escorial está a solo 50 metros del casino de Piriápolis y a 67 km del aeropuerto internacional de Carrasco."
Hotel Palace Piriápolis,US$79,"7,9",Bien,655,https://cf.bstatic.com/xdata/images/hotel/max1024x768/326115322.webp?k=795fce82fc7fd1824c393b76e913ce648e9b34a7cc54c920c7d0d6121a949293&o=,https://www.booking.com/hotel/uy/palace-piriapolis.es.html?aid=2410095,"Registro de entrada / salida privado, Zona poco profunda, Llave de acceso, Fax / fotocopiadora, Prohibido fumar en todo el alojamiento, Español, Ascensor, Juegos de mesa / puzles, TV, Papel higiénico, Bidet, Servicio de conserjería, Ping pong, Cámaras de seguridad en las zonas comunitarias, Para todas las edades, Zona TV / salón de uso compartido, Sala de juegos, Muy buen desayuno, Mobiliario exterior, WiFi gratis, Baño privado, Servicio de limpieza diario, Baños públicos, Recepción 24 horas, Caja fuerte, Tarjeta de acceso, Billar, Canales por cable, Playa, Guardaequipaje, Habitaciones familiares, Toallas de playa/piscina, Información turística, Ropa de cama, Inglés, Piscina climatizada, Ducha, Ventilador, Jardín, Toallas, Piscina interior, TV de pantalla plana, Zona de juegos interior, Abierta todo el año, Habitaciones sin humo, Extintores, Acceso a pisos superiores en ascensor, Servicio de habitaciones, Servicio de entrega de comestibles",Piriápolis,Uruguay,"El Hotel Palace Piriápolis ofrece alojamiento en el centro de Piriápolis, a solo 150 metros de la Rambla. Hay conexión WiFi gratuita en las zonas comunes. Todos los días se sirve un desayuno continental.

Las habitaciones del Hotel Palace Piriápolis han sido reformadas y disponen de baño totalmente equipado y TV de pantalla plana. Algunos alojamientos superiores incluyen balcón. El establecimiento dispone de ascensor.

El hotel cuenta con recepción 24 horas y mostrador de información turística.

Se encuentra a 800 metros del puerto. El aeropuerto internacional Capitán Carlos A. Curbelo está a 22,7 km.

De acuerdo con las leyes fiscales locales, del 15 de noviembre al día siguiente de Pascua, los ciudadanos uruguayos pueden cobrar el impuesto sobre el valor añadido (IVA 10%). Este suplemento no se incluye automáticamente en el importe total de la reserva."
Hotel Select,US$80,"7,2",Bien,1.953,https://cf.bstatic.com/xdata/images/hotel/max1024x768/173663328.webp?k=a59584bb2dc653a9587b1812b5f6d30636ff94a43acae83ce5522fcec70f8b95&o=,https://www.booking.com/hotel/uy/select.es.html?aid=2410095,"Barbacoa, Desayuno, Terraza / solárium, Fax / fotocopiadora, Llave de acceso, Aire acondicionado, Prohibido fumar en todo el alojamiento, Español, Juegos de mesa / puzles, Seguridad 24 horas, Entrada privada, Papel higiénico, Armario, Zona de fumadores, Servicio de traslado, Portugués, Bar, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Ping pong, Cámaras de seguridad en las zonas comunitarias, Detectores de humo, Para todas las edades, Terraza, Parking adaptado para personas de movilidad reducida, Sala de juegos, Zona TV / salón de uso compartido, Mobiliario exterior, WiFi gratis, Baño privado, Cambio de moneda, Servicio de limpieza diario, Baños públicos, Parking en un garaje, Recepción 24 horas, Caja fuerte, Zona de pícnic, Parking gratis, Billar, Guardaequipaje, Habitaciones familiares, Sombrillas, Información turística, Tumbonas/sillas de playa, Ropa de cama, Inglés, Piscina climatizada, Ventilador, Jardín, Toallas, Menús para dietas especiales (bajo petición), Piscina interior, TV de pantalla plana, Alarma de seguridad, Zona de juegos interior, Calefacción, Abierta todo el año, Club infantil, Habitaciones sin humo, Extintores, Máquina expendedora (bebidas), Proporciona factura",Piriápolis,Uruguay,"Hotel Select se encuentra en Piriápolis, a 2 min a pie de Playa de Piriápolis, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este hotel de 3 estrellas ofrece bar y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de club infantil, recepción 24 horas y cambio de moneda.

En el hotel, todas las habitaciones están equipadas con armario y TV de pantalla plana. En Hotel Select, cada habitación tiene ropa de cama y toallas.

En el alojamiento, la clientela puede disfrutar de piscina cubierta. Puedes jugar al ping-pong en Hotel Select.

Playa de San Francisco está a 2,5 km del alojamiento, y Playa de Punta Colorada está a 2,8 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 21 km del alojamiento."
SAN ANTONIO,US$63,"8,5",Muy bien,92,https://cf.bstatic.com/xdata/images/hotel/max1024x768/461661870.webp?k=e87c3c0d47094227c58cfcdfd644080fb30fa46d62615278340f6cb79618d5c4&o=,https://www.booking.com/hotel/uy/san-antonio.es.html?aid=2410095,"Desayuno, Español, Aire acondicionado, TV, Papel higiénico, Armario, Bidet, Secador de pelo, Terraza, Zona de comedor, Toallas / sábanas (por un suplemento), WiFi gratis, Baño privado, Parking gratis, Habitaciones familiares, Bañera o ducha, Ropa de cama, Inglés, Ducha, Jardín, Toallas, Vistas, TV de pantalla plana, Vistas al mar, Mesa de comedor",Piriápolis,Uruguay,"SAN ANTONIO es un alojamiento con jardín y terraza que se encuentra en Piriápolis, a 2 km de Playa de San Francisco, a 40 km de Estación de autobús de Punta del Este y a 41 km de The Fingers beach. Este alojamiento con aire acondicionado está a 8 min a pie de Playa de Piriápolis y ofrece wifi gratis y parking privado en el propio alojamiento.

La habitación en casa particular tiene TV de pantalla plana. Hay toallas y ropa de cama en la habitación en casa particular.

En la habitación en casa particular se sirve todas las mañanas un desayuno continental.

Feria Artesanal está a 40 km del alojamiento, y Puerto de Punta del Este está a 41 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 21 km."
Luna Azul,US$86,"9,4",Fantástico,81,https://cf.bstatic.com/xdata/images/hotel/max1024x768/330542859.webp?k=e8c815586a563c8b12c2923ac900ad7ea8466bb0c42a45af302d00f71261f092&o=,https://www.booking.com/hotel/uy/luna-azul-piriapolis.es.html?aid=2410095,"Apartamento privado en edificio, Barbacoa, Microondas, Horno, Vistas al jardín, Español, Aire acondicionado, Nevera, Entrada privada, Juegos de mesa / puzles, Papel higiénico, Armario, Perchero, Suelo de baldosa / mármol, Cocina, Bidet, Wifi rápida gratis (292 Mbps), Fogones, Productos de limpieza, Zona de comedor, Patio, Baño privado, Utensilios de cocina, Zona de estar, Libros, DVD o música para niños, Tendedero, Enchufe cerca de la cama, Vistas a un patio interior, Adosado, Toda la unidad en la planta baja, Parking gratis, WC, Canales por cable, Playa, Habitaciones familiares, Zona de cocina, Bañera o ducha, Muebles de exterior, Ducha, Ventilador, Zona de comedor exterior, Jardín, TV de pantalla plana, Calefacción, Tostadora, Mesa de comedor, Hervidor eléctrico, Habitaciones sin humo, Independiente",Piriápolis,Uruguay,"Luna Azul se encuentra en Piriápolis, a 3 min a pie de Playa de Piriápolis y a 1,9 km de Playa Grande. Ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín.

El apartamento ofrece patio, vistas al jardín, zona de estar, TV de pantalla plana por cable, cocina totalmente equipada con nevera y horno, y baño privado con bidet. También se ofrece microondas, fogones y tostadora, además de hervidor.

Estación de autobús de Punta del Este está a 41 km del alojamiento, y The Fingers beach está a 41 km. El aeropuerto más cercano (Aeropuerto Capitan de Corbeta Carlos A. Curbelo) está a 22 km del alojamiento."
